name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source,,,,,,,,,,,,,,,,,,,,,
Połaniec B4,ENEA Elektrownia Połaniec S.A.,,,,PL,242,Hard coal,,,,,50.43534,21.33674,19W0000000001519,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Połaniec B5,ENEA Elektrownia Połaniec S.A.,,,,PL,225,Hard coal,,,,,50.43534,21.33674,19W0000000001519,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Połaniec B6,ENEA Elektrownia Połaniec S.A.,,,,PL,242,Hard coal,,,,,50.43534,21.33674,19W0000000001519,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Połaniec B7,ENEA Elektrownia Połaniec S.A.,,,,PL,239,Hard coal,,,,,50.43534,21.33674,19W0000000001519,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Porąbka Żar H1,PGE Energia Odnawialna S.A.,,,,PL,135,Hydro,Pumped storage,,,,49.77957,19.212,19W000000000247X,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Porąbka Żar H2,PGE Energia Odnawialna S.A.,,,,PL,135,Hydro,Pumped storage,,,,49.77957,19.212,19W000000000247X,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Porąbka Żar H3,PGE Energia Odnawialna S.A.,,,,PL,135,Hydro,Pumped storage,,,,49.77957,19.212,19W000000000247X,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Porąbka Żar H4,PGE Energia Odnawialna S.A.,,,,PL,135,Hydro,Pumped storage,,,,49.77957,19.212,19W000000000247X,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Rybnik B1, PGE Energia Ciepła S.A.,,,,PL,225,Hard coal,,,,,50.1317,18.52045,19W0000000001713,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Rybnik B2, PGE Energia Ciepła S.A.,,,,PL,225,Hard coal,,,,,50.1317,18.52045,19W0000000001713,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Rybnik B3, PGE Energia Ciepła S.A.,,,,PL,225,Hard coal,,,,,50.1317,18.52045,19W0000000001713,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Rybnik B4, PGE Energia Ciepła S.A.,,,,PL,225,Hard coal,,,,,50.1317,18.52045,19W0000000001713,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Rybnik B5, PGE Energia Ciepła S.A.,,,,PL,225,Hard coal,,,,,50.1317,18.52045,19W0000000001713,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Rybnik B6, PGE Energia Ciepła S.A.,,,,PL,225,Hard coal,,,,,50.1317,18.52045,19W0000000001713,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Rybnik B7, PGE Energia Ciepła S.A.,,,,PL,225,Hard coal,,,,,50.1317,18.52045,19W0000000001713,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Rybnik B8, PGE Energia Ciepła S.A.,,,,PL,225,Hard coal,,,,,50.1317,18.52045,19W0000000001713,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Siersza B1,TAURON Wytwarzanie S.A.,,,,PL,153,Hard coal,,,,,50.20761,19.46145,19W0000000002361,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Siersza B2,TAURON Wytwarzanie S.A.,,,,PL,153,Hard coal,,,,,50.20761,19.46145,19W0000000002361,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Siersza B3,TAURON Wytwarzanie S.A.,,,,PL,123,Hard coal,,,,,50.20761,19.46145,19W0000000002361,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Siersza B6,TAURON Wytwarzanie S.A.,,,,PL,128,Hard coal,,,,,50.20761,19.46145,19W0000000002361,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Solina H1,,PGE Energia Odnawialna S.A.,,,,PL,68,Hydro,Pumped storage,,,,,,,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,
Solina H2,,PGE Energia Odnawialna S.A.,,,,PL,68,Hydro,Pumped storage,,,,,,,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,
Solina H3,,PGE Energia Odnawialna S.A.,,,,PL,31,Hydro,Pumped storage,,,,,,,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,
Solina H4,,PGE Energia Odnawialna S.A.,,,,PL,31,Hydro,Pumped storage,,,,,,,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,
Stalowa Wola 3 B7,TAURON Wytwarzanie S.A.,,,,PL,125,Hard coal,,,,,50.55071,22.07761,19W000000000193U,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Stalowa Wola 3 B8,TAURON Wytwarzanie S.A.,,,,PL,125,Hard coal,,,,,50.55071,22.07761,19W000000000193U,Fossil fuels,Hard coal,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Turów B01,,PGE Górnictwo i Energetyka Konwencjonalna S.A.,,,,PL,235,Lignite,,,,,50.94818,14.91255,19W000000000199I,Fossil fuels,Lignite,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,
Turów B02,,PGE Górnictwo i Energetyka Konwencjonalna S.A.,,,,PL,235,Lignite,,,,,50.94818,14.91255,19W000000000199I,Fossil fuels,Lignite,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,
Turów B03,,PGE Górnictwo i Energetyka Konwencjonalna S.A.,,,,PL,235,Lignite,,,,,50.94818,14.91255,19W000000000199I,Fossil fuels,Lignite,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,
Turów B04,,PGE Górnictwo i Energetyka Konwencjonalna S.A.,,,,PL,261,Lignite,,,,,50.94818,14.91255,19W000000000199I,Fossil fuels,Lignite,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,
Turów B05,,PGE Górnictwo i Energetyka Konwencjonalna S.A.,,,,PL,261,Lignite,,,,,50.94818,14.91255,19W000000000199I,Fossil fuels,Lignite,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,
Turów B06,,PGE Górnictwo i Energetyka Konwencjonalna S.A.,,,,PL,261,Lignite,,,,,50.94818,14.91255,19W000000000199I,Fossil fuels,Lignite,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,
Żarnowiec H1,PGE Energia Odnawialna S.A.,,,,PL,179,Hydro,Pumped storage,,,,54.74201,18.08924,19W0000000002418,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Żarnowiec H2,PGE Energia Odnawialna S.A.,,,,PL,179,Hydro,Pumped storage,,,,54.74201,18.08924,19W0000000002418,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Żarnowiec H3,PGE Energia Odnawialna S.A.,,,,PL,179,Hydro,Pumped storage,,,,54.74201,18.08924,19W0000000002418,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Żarnowiec H4,PGE Energia Odnawialna S.A.,,,,PL,179,Hydro,Pumped storage,,,,54.74201,18.08924,19W0000000002418,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Żydowo H1,ENERGA Wytwarzanie S.A.,,,,PL,55,Hydro,Pumped storage,,,,54.02601,16.71386,19W0000000002426,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Żydowo H2,ENERGA Wytwarzanie S.A.,,,,PL,55,Hydro,Pumped storage,,,,54.02601,16.71386,19W0000000002426,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Żydowo H3,ENERGA Wytwarzanie S.A.,,,,PL,57,Hydro,Pumped storage,,,,54.02601,16.71386,19W0000000002426,Renewable energy,Hydro,,,,http://gpi.tge.pl/en/wykaz-jednostek,,,,,,,,,,,,,,,,,,,,,
Alpiq‐ECK 7,,,,,CZ,135,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Alpiq‐ECK B5,,,,,CZ,135,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Alpiq‐ECK B7,,,,,CZ,135,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
C.Budejovice TCB,,,,,CZ,66.2,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
"DRPEMO VKR,TEV",,,,,CZ,18,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Dvur Kralove TDK,,,,,CZ,18.3,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Energotrans TG1,,,,,CZ,60,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Energotrans TG2,,,,,CZ,60,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Energotrans TG3,,,,,CZ,60,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Energotrans TG4,,,,,CZ,60,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Hodonin EHO,,,,,CZ,107,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
CHEZA G1,,,,,CZ,275,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Chvaletice B1,,,,,CZ,205,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Chvaletice B2,,,,,CZ,205,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Chvaletice B3,,,,,CZ,205,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Chvaletice B4,,,,,CZ,205,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Karlovy Vary KVT,,,,,CZ,1.3,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Karvina TG4,,,,,CZ,15,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Karvina TG5,,,,,CZ,40,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Kauc.Kralupy TG1,,,,,CZ,27,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Kauc.Kralupy TG2,,,,,CZ,33,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Kolin Zalabi TG4,,,,,CZ,4.5,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Kolin Zalabi TG5,,,,,CZ,12,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Komorany TG20,,,,,CZ,35,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Komorany TG21,,,,,CZ,22,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Komorany TG22,,,,,CZ,34,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Komorany TG4,,,,,CZ,32,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Komorany TG5,,,,,CZ,32,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Komorany TG6,,,,,CZ,32,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Komorany TG9,,,,,CZ,32,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Ledvice 2 B2,,,,,CZ,110,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Ledvice 2 B3,,,,,CZ,110,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Ledvice 3 B4,,,,,CZ,110,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Ledvice 4 B6,,,,,CZ,660,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Liberec TLI,,,,,CZ,15,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Melník2 B10,,,,,CZ,110,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Melník2 B9,,,,,CZ,110,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Melník3 B11,,,,,CZ,500,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Náchod TNA,,,,,CZ,17,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Olomouc TG3,,,,,CZ,41,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Olomouc TG4,,,,,CZ,8,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Opatovice TG1,,,,,CZ,60,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Opatovice TG2,,,,,CZ,60,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Opatovice TG3,,,,,CZ,63,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Opatovice TG4,,,,,CZ,60,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Opatovice TG5,,,,,CZ,60,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Opatovice TG6,,,,,CZ,63,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Ostrava TPV,,,,,CZ,13.5,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Ostrov n. O. TOS,,,,,CZ,6,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Otrokovice TG1,,,,,CZ,25,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Otrokovice TG2,,,,,CZ,27.5,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
PEVTZ PEActherm,,,,,CZ,26,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
PE CEZ Morava PESME,,,,,CZ,129,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
PE CEZ sever PESCE,,,,,CZ,173.7,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
PE CEZ východ PEVCE,,,,,CZ,135,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
PE CEZ západ PEZCE,,,,,CZ,26,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
PE CEZstred PESTE,,,,,CZ,77.2,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
PE EONvýchod PEJME,,,,,CZ,71,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
PE EONzápad PEJCE,,,,,CZ,48.8,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
PE PREdi PEPRE,,,,,CZ,11,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
PE Vresová TG1,,,,,CZ,55,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
PE Vresová TG2,,,,,CZ,55,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
PE Vresová TG3,,,,,CZ,55,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
PE Vresová TG4,,,,,CZ,55,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Písek TPI,,,,,CZ,7.8,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Planá n/L. TG3,,,,,CZ,20.7,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Plzen teplárna TG1,,,,,CZ,67,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Plzen teplárna TG2,,,,,CZ,67,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Plzenská energetika TG10,,,,,CZ,26,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Plzenská energetika TG8,,,,,CZ,31,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Plzenská energetika TG9,,,,,CZ,33,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Pocerady B2,,,,,CZ,200,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Pocerady B3,,,,,CZ,200,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Pocerady B4,,,,,CZ,200,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Pocerady B5,,,,,CZ,200,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Pocerady B6,,,,,CZ,200,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Prunérov 1 B3,,,,,CZ,110,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Prunérov 1 B4,,,,,CZ,110,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Prunérov 1 B5,,,,,CZ,110,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Prunérov 1 B6,,,,,CZ,110,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Prunérov 2 B23,,,,,CZ,250,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Prunérov 2 B24,,,,,CZ,250,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Prunérov 2 B25,,,,,CZ,250,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Prerov TG1,,,,,CZ,42.5,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Prerov TG2,,,,,CZ,8,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Príbram TG1,,,,,CZ,44.4,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Strakonice TST,,,,,CZ,30,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
ŠKO-ENERGO ,,,,,CZ,87.2,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Špitálka PS,,,,,CZ,80.6,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Tábor TTB,,,,,CZ,22.5,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Terea(Cheb) Terea,,,,,CZ,5.1,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
Tisová2 B6,,,,,CZ,112,Lignite,Steam turbine,,,,,,,Fossil fuels,Lignite,,,,https://www.ceps.cz/cs/priprava-provozu,,,,,,,,,,,,,,,,,,,,,
